4OR-A Quarterly Journal of Operations Research,管理科学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否,管理学 ,4区,OPERATIONS RESEARCH & MANAGEMENT SCIENCE;运筹学与管理科学;1区;3区;4区,否,否
ACM Transactions on Multimedia Computing Communications and Applications,工程技术 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;1区;3区;3区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;2区;2区;2区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;1区;3区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;1区;3区;3区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;2区;2区;2区;COMPUTER SCIENCE& THEORY & METHODS;计算机：理论方法;1区;3区;3区,否,否
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,工程技术 ,4区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;4区;3区,否,否,计算机科学 ,4区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;4区;3区,否,否
ACM Transactions on Sensor Networks,工程技术 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;1区;3区;TELECOMMUNICATIONS;电信学;2区;2区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;2区;1区;3区;TELECOMMUNICATIONS;电信学;2区;2区;3区,否,否
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,工程技术 ,3区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;2区;1区;3区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;2区;1区;3区,否,否
ACM Transactions on the Web,工程技术 ,4区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;3区;4区,否,否,计算机科学 ,3区,COMPUTER SCIENCE& INFORMATION SYSTEMS;计算机：信息系统;3区;4区;4区;COMPUTER SCIENCE& SOFTWARE ENGINEERING;计算机：软件工程;3区;3区;4区,否,否
ACOUSTICAL PHYSICS,物理 ,4区,ACOUSTICS;声学;4区;1区;4区,否,否,物理与天体物理 ,4区,ACOUSTICS;声学;4区;1区;4区,否,否
Acoustics Australia,物理 ,4区,ACOUSTICS;声学;1区;3区;4区,否,否,物理与天体物理 ,4区,ACOUSTICS;声学;1区;3区;4区,否,否
ACS Applied Materials & Interfaces,经LetPub修改润色后发表在《ACS APPL MATER INTER》上，作者来信感谢的范例---2篇,工程技术 ,1区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;2区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;3区;4区;2区,是,否,材料科学 ,1区,MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;2区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;3区;4区;2区,是,否
ACS Chemical Biology,生物 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;2区;2区,否,否,生物学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;2区;2区,否,否
ACS Chemical Neuroscience,医学 ,2区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;4区;3区;CHEMISTRY& MEDICINAL;药物化学;2区;2区;2区;NEUROSCIENCES;神经科学;3区;2区;3区,否,否,医学 ,3区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;4区;4区;3区;CHEMISTRY& MEDICINAL;药物化学;2区;2区;2区;NEUROSCIENCES;神经科学;3区;2区;3区,否,否
ACS Nano,LetPub助力作者发表在《ACS NANO》上的文章案例，致谢部分提及LetPub---1篇,工程技术 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;4区;1区;CHEMISTRY& PHYSICAL;物理化学;2区;3区;1区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;1区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;4区;2区;1区,是,否,材料科学 ,1区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;4区;1区;CHEMISTRY& PHYSICAL;物理化学;2区;3区;1区;MATERIALS SCIENCE& MULTIDISCIPLINARY;材料科学：综合;4区;1区;1区;NANOSCIENCE & NANOTECHNOLOGY;纳米科技;4区;2区;1区,是,否
ACSMS HEALTH & FITNESS JOURNAL,医学 ,4区,SPORT SCIENCES;运动科学;1区;4区;4区,否,否,医学 ,4区,SPORT SCIENCES;运动科学;1区;4区;4区,否,否
ACTA ACUSTICA UNITED WITH ACUSTICA,物理 ,4区,ACOUSTICS;声学;4区;2区;4区,否,否,物理与天体物理 ,4区,ACOUSTICS;声学;4区;2区;4区,否,否
ACTA ADRIATICA,生物 ,4区,MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;2区;1区;4区;OCEANOGRAPHY;海洋学;1区;2区;4区,否,否,生物学 ,4区,MARINE & FRESHWATER BIOLOGY;海洋与淡水生物学;2区;1区;4区;OCEANOGRAPHY;海洋学;1区;2区;4区,否,否
ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,LetPub助力作者发表在《ACTA AGR SCAND A-AN》上的文章案例，致谢部分提及LetPub---1篇,农林科学 ,4区,AGRICULTURE& DAIRY & ANIMAL SCIENCE;奶制品与动物科学;4区;2区;4区,否,是,农林科学 ,4区,AGRICULTURE& DAIRY & ANIMAL SCIENCE;奶制品与动物科学;4区;2区;4区,否,是
ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,农林科学 ,4区,AGRONOMY;农艺学;2区;2区;4区;SOIL SCIENCE;土壤科学;3区;1区;4区,否,否,农林科学 ,4区,AGRONOMY;农艺学;2区;2区;4区;SOIL SCIENCE;土壤科学;3区;1区;4区,否,否
ACTA ALIMENTARIA,农林科学 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;1区;1区;4区;NUTRITION & DIETETICS;营养学;1区;3区;4区,否,否,农林科学 ,4区,FOOD SCIENCE & TECHNOLOGY;食品科技;1区;1区;4区;NUTRITION & DIETETICS;营养学;1区;3区;4区,否,否
ACTA ANAESTHESIOLOGICA SCANDINAVICA,医学 ,3区,ANESTHESIOLOGY;麻醉学;2区;3区;4区,否,否,医学 ,3区,ANESTHESIOLOGY;麻醉学;2区;3区;4区,否,否
ACTA APPLICANDAE MATHEMATICAE,数学 ,3区,MATHEMATICS& APPLIED;应用数学;4区;1区;4区,否,否,数学 ,4区,MATHEMATICS& APPLIED;应用数学;4区;1区;4区,否,否
ACTA ARITHMETICA,数学 ,4区,MATHEMATICS;数学;1区;4区;4区,否,否,数学 ,4区,MATHEMATICS;数学;1区;4区;4区,否,否
ACTA ASTRONAUTICA,工程技术 ,3区,ENGINEERING& AEROSPACE;工程：宇航;1区;4区;2区,否,否,工程技术 ,2区,ENGINEERING& AEROSPACE;工程：宇航;1区;4区;2区,否,否
ACTA ASTRONOMICA,地学天文 ,3区,ASTRONOMY & ASTROPHYSICS;天文与天体物理;3区;1区;3区,否,否,物理与天体物理 ,4区,ASTRONOMY & ASTROPHYSICS;天文与天体物理;3区;1区;3区,否,否
ACTA BIOCHIMICA ET BIOPHYSICA SINICA,期刊ACTA BIOCHIMICA ET BIOPHYSICA SINICA推荐LetPub的编辑服务,发表在此期刊的论文范例,LetPub助力作者发表在《ACTA BIOCH BIOPH SIN》上的文章案例，致谢部分提及LetPub---3篇,生物 ,3区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;3区;4区;3区;BIOPHYSICS;生物物理;4区;3区;3区,否,否,生物学 ,3区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;3区;4区;3区;BIOPHYSICS;生物物理;4区;3区;3区,否,否
ACTA BIOCHIMICA POLONICA,生物 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;2区;4区,否,否,生物学 ,4区,BIOCHEMISTRY & MOLECULAR BIOLOGY;生化与分子生物学;1区;2区;4区,否,否
Acta bioethica,医学 ,4区,MEDICAL ETHICS;医学：伦理;1区;3区;4区,否,否,医学 ,4区,MEDICAL ETHICS;医学：伦理;1区;3区;4区,否,否
ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,生物 ,4区,PLANT SCIENCES;植物科学;3区;3区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;3区;3区;4区,否,否
ACTA BIOLOGICA HUNGARICA,生物 ,4区,BIOLOGY;生物学;1区;1区;4区,否,否,生物学 ,4区,BIOLOGY;生物学;1区;1区;4区,否,否
Acta Biomaterialia,工程技术 ,1区,ENGINEERING& BIOMEDICAL;工程：生物医学;4区;2区;1区;MATERIALS SCIENCE& BIOMATERIALS;材料科学：生物材料;1区;3区;1区,是,否,工程技术 ,1区,ENGINEERING& BIOMEDICAL;工程：生物医学;4区;2区;1区;MATERIALS SCIENCE& BIOMATERIALS;材料科学：生物材料;1区;3区;1区,是,否
ACTA BIOQUIMICA CLINICA LATINOAMERICANA,医学 ,4区,MEDICAL LABORATORY TECHNOLOGY;医学实验技术;2区;1区;4区,否,否,医学 ,4区,MEDICAL LABORATORY TECHNOLOGY;医学实验技术;2区;1区;4区,否,否
ACTA BIOTHEORETICA,生物 ,4区,MATHEMATICAL & COMPUTATIONAL BIOLOGY;数学与计算生物学;2区;4区;4区,否,否,计算机科学 ,4区,MATHEMATICAL & COMPUTATIONAL BIOLOGY;数学与计算生物学;2区;4区;4区,否,否
Acta Botanica Brasilica,生物 ,4区,PLANT SCIENCES;植物科学;3区;2区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;3区;2区;4区,否,否
ACTA BOTANICA CROATICA,生物 ,4区,PLANT SCIENCES;植物科学;1区;2区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;1区;2区;4区,否,否
APPETITE,医学 ,3区,BEHAVIORAL SCIENCES;行为科学;2区;3区;2区;NUTRITION & DIETETICS;营养学;2区;1区;3区,否,否,医学 ,2区,BEHAVIORAL SCIENCES;行为科学;2区;3区;2区;NUTRITION & DIETETICS;营养学;2区;1区;3区,否,否
Acta Botanica Mexicana,生物 ,4区,PLANT SCIENCES;植物科学;2区;4区;4区,否,否,生物学 ,4区,PLANT SCIENCES;植物科学;2区;4区;4区,否,否
ACTA CARDIOLOGICA,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;2区;4区,否,否,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;2区;4区,否,否
Acta Cardiologica Sinica,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;2区;4区,否,否,医学 ,4区,CARDIAC & CARDIOVASCULAR SYSTEMS;心脏和心血管系统;2区;2区;4区,否,否
ACTA CARSOLOGICA,地学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;4区;4区;4区,否,否,地球科学 ,4区,GEOSCIENCES& MULTIDISCIPLINARY;地球科学综合;4区;4区;4区,否,否
ACTA CHIMICA SINICA,化学 ,3区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;3区;4区;3区,否,否,化学 ,3区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;3区;4区;3区,否,否
ACTA CHIMICA SLOVENICA,化学 ,4区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;4区,否,否,化学 ,4区,CHEMISTRY& MULTIDISCIPLINARY;化学综合;2区;2区;4区,否,否
ACTA CHIROPTEROLOGICA,生物 ,4区,ZOOLOGY;动物学;4区;4区;3区,否,否,生物学 ,3区,ZOOLOGY;动物学;4区;4区;3区,否,否
Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,医学 ,4区,ORTHOPEDICS;骨科;1区;1区;4区,否,否,医学 ,4区,ORTHOPEDICS;骨科;1区;1区;4区,否,否
ACTA CHIRURGICA BELGICA,医学 ,4区,SURGERY;外科;2区;2区;4区,否,否,医学 ,4区,SURGERY;外科;2区;2区;4区,否,否
ACTA CHROMATOGRAPHICA,化学 ,4区,CHEMISTRY& ANALYTICAL;分析化学;2区;4区;4区,否,否,化学 ,4区,CHEMISTRY& ANALYTICAL;分析化学;2区;4区;4区,否,否
Acta Cirurgica Brasileira,医学 ,4区,SURGERY;外科;1区;4区;4区,否,否,医学 ,4区,SURGERY;外科;1区;4区;4区,否,否
ACTA CLINICA BELGICA,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;4区;4区,否,否,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;3区;4区;4区,否,否
Acta Clinica Croatica,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;2区;2区;4区,否,否,医学 ,4区,MEDICINE& GENERAL & INTERNAL;医学：内科;2区;2区;4区,否,否
ACTA CRYSTALLOGRAPHICA SECTION A,
ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE,
ACTA CRYSTALLOGRAPHICA SECTION C-CRYSTAL STRUCTURE COMMUNICATIONS,
ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,
ACTA CRYSTALLOGRAPHICA SECTION E-STRUCTURE REPORTS ONLINE,
Acta Crystallographica Section F-Structural Biology and Crystallization Communications,
ACTA CYTOLOGICA,
ACTA DERMATO-VENEREOLOGICA,医学 ,3区,DERMATOLOGY;皮肤病学;4区;4区;2区,否,否,医学 ,3区,DERMATOLOGY;皮肤病学;4区;4区;2区,否,否
Acta Dermatovenerologica Croatica,医学 ,4区,DERMATOLOGY;皮肤病学;1区;3区;4区,否,否,医学 ,4区,DERMATOLOGY;皮肤病学;1区;3区;4区,否,否
ACTA DIABETOLOGICA,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;4区;3区,否,否,医学 ,3区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;4区;3区,否,否
Acta Endocrinologica-Bucharest,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;1区;4区,否,否,医学 ,4区,ENDOCRINOLOGY & METABOLISM;内分泌学与代谢;1区;1区;4区,否,否
Acta Endoscopica,
ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,农林科学 ,4区,ENTOMOLOGY;昆虫学;1区;4区;4区,否,否,农林科学 ,3区,ENTOMOLOGY;昆虫学;1区;4区;4区,否,否
ACTA ETHOLOGICA,生物 ,4区,BEHAVIORAL SCIENCES;行为科学;3区;3区;4区;ZOOLOGY;动物学;3区;3区;3区,否,否,生物学 ,4区,BEHAVIORAL SCIENCES;行为科学;3区;3区;4区;ZOOLOGY;动物学;3区;3区;3区,否,否
ACTA GASTRO-ENTEROLOGICA BELGICA,医学 ,4区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;4区;2区;4区,否,否,医学 ,4区,GASTROENTEROLOGY & HEPATOLOGY;胃肠肝病学;4区;2区;4区,否,否
Acta Geodaetica et Geophysica Hungarica,
Acta Geodynamica et Geomaterialia,地学 ,4区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;1区;3区;4区;MINING & MINERAL PROCESSING;矿业与矿物加工;2区;4区;4区,否,否,地球科学 ,4区,GEOCHEMISTRY & GEOPHYSICS;地球化学与地球物理;1区;3区;4区;MINING & MINERAL PROCESSING;矿业与矿物加工;2区;4区;4区,否,否
Acta Geographica Slovenica-Geografski Zbornik,地学 ,4区,GEOGRAPHY& PHYSICAL;自然地理;4区;1区;4区,否,否,地球科学 ,4区,GEOGRAPHY& PHYSICAL;自然地理;4区;1区;4区,否,否
ACTA GEOLOGICA POLONICA,地学 ,4区,GEOLOGY;地质学;4区;3区;4区,否,否,地球科学 ,4区,GEOLOGY;地质学;4区;3区;4区,否,否
ACTA GEOLOGICA SINICA-ENGLISH EDITION,
